commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
5165AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5166A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5166B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169DA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169EA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169EB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169ED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169EE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169EF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169FC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169FD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169J,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169K,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169L,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169M,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5169P,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5171B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5172A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5173B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5173BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5173BB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5173C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5174A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175AC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175AD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5175B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5176AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5176B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5176C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5176D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177AL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5177BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179F,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179FB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179HC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5179I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5181A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
JD1005,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1270,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1320,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1330,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1340,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1345,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1370,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1375,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1386,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD1520,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD1730,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD1990,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD2060,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD2310,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD2320,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD2350,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD2510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JD5315,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
