,commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type,CUFTA
146,5179FB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
147,5179H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
148,5179HC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
149,5179I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
150,5181A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
151,JD1005,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
152,JD1270,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
153,JD1320,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
154,JD1330,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
155,JD1340,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
156,JD1345,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
157,JD1370,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
158,JD1375,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
159,JD1386,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
160,JD1520,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
161,JD1730,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
162,JD1990,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
163,JD2060,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
164,JD2310,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
165,JD2320,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
166,JD2350,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
167,JD2510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
168,JD5315,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
169,JD5826,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
170,JD5831,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
171,JD5840A,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
172,JD5865,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
173,JD5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
174,JD5905,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
175,JD5960,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
176,JD6605,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
177,JI1610,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
178,JI1660,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
179,JI2510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
180,JI2530,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
181,JI2910,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
182,JI3740,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
183,JI4110,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
184,JI4130,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
185,JI4240,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
186,JI4430,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
187,JI4520,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
188,JI5660,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
189,JI5805,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
190,JI5826,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
191,JI5830,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
192,JI5835,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
193,JI5840,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
194,JI5845,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
195,JI5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services,NO
196,JI5985,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
197,JI5995,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
198,JI6350,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
199,JI6520,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
200,JI6530,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
201,JI6610,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
202,JI6625,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
203,JI6650,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
204,JI6660,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
205,JI6685,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
206,JI7010,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
207,JI7021,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
208,JI7025,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
209,JI7110,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
210,JI7125,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
211,JI7220,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
212,JI7220A,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
213,JI7230,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
214,JI7310,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
215,JI7510,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
216,JI9330,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
217,JI9905,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services,NO
218,JI9930,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services,NO
219,JX1005,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
220,JX1005A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
221,JX1015,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
222,JX1025,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
223,JX1035,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
224,JX1055,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
225,JX1095,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
226,JX1220,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
227,JX1230,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
228,JX1240,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
229,JX1250,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
230,JX1265,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
231,JX1285,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
232,JX1305,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
233,JX1340,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
234,JX1355,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
235,JX1377,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
236,JX1410,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
237,JX1420,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
238,JX1425,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
239,JX1427,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
240,JX1430,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
241,JX1450,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services,YES
242,JX1510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
243,JX1510A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
244,JX1510C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
245,JX1510D,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
246,JX1520,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
247,JX1520A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
248,JX1520B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
249,JX1540,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
250,JX1560,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
251,JX1610,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
252,JX1615,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
253,JX1620,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
254,JX1630,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
255,JX1650,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
256,JX1660,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
257,JX1680,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
258,JX1680A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
259,JX1680B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
260,JX1680C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
261,JX1710,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
262,JX1720,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
263,JX1730,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
264,JX1740,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
265,JX1910,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
266,JX1920,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
267,JX1925,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
268,JX1930,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
269,JX1940,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
270,JX1940AA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
271,JX1940C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
272,JX1945,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services,NO
