commodity_code,gsin-description_en,gsin-description_fr,Commodity Type
JI7230,"Draperies, Awnings and Shades - Installation","Draperies, tentes et stores - installation",Services                                                        
JI7310,"Food, Cooking Baking and Serving Equipment - Installation","Équipement pour la cuisson, la cuisson au four et le service des aliments - installation",Services                                                        
JI7510,Office Supplies - Installation,Fournitures de bureau - installation,Services                                                        
JI9330,Plastics Fabricated Materials - Installation,"Matières usinées, en matière plastique - installation",Services                                                        
JI9905,Signs and Identification Plates - Installation,Enseignes et plaques d'identification -  installation,Services                                                        
JI9930,"Memorials, Cemeterial and Mortiary Equipment and Suppliers - Installation",Articles funéraires - installation,Services                                                        
JX1005,"Guns, Through 30MM - Repair","Canons, jusqu'à 30 mm - réparation",Services                                                        
JX1005A,Small Arms and Accessories (Military) - Repair & Overhaul,"Armes portatives et accessoires, militaires - réparation et  révision",Services                                                        
JX1015,"Guns, 75MM Through 125MM - Repair","Canons, de 75 mm jusqu'à 125 mm - réparation",Services                                                        
JX1025,"Guns, Over 150MM Through 200MM - Repair","Canons, de plus de 150 mm jusqu'à 200 mm - réparation",Services                                                        
JX1035,"Guns, Over 300MM - Repair","Canons, de plus de 300 mm - réparation",Services                                                        
JX1055,"Launchers, Rockets and Pyrotechnic - Repair",Appareils de lancement pour engins pyrotechniques et roquettes - réparation,Services                                                        
JX1095,Miscellaneous Weapons - Repair,Armes diverses - réparation,Services                                                        
JX1220,Fire Control Computing Sights and Devices - Repair,Appareils de visée et calculateurs de conduite de tir -  réparation,Services                                                        
JX1230,Fire Control Systems - Repair,Systèmes de conduite de tir - réparation,Services                                                        
JX1240,Optical Sighting and Ranging Equipment - Repair,Instruments optiques de visée et de télémétrie - réparation,Services                                                        
JX1250,Fire Control Stabilizing Mechanisms - Repair,Mécanismes stabilisateurs pour la conduite de tir - réparation,Services                                                        
JX1265,Fire Control Transmitting and Receiving Equipment (Except Airborne) - Repair,"Équipement d'émission et de réception pour la conduite de tir,  sauf pour aéronefs - réparation",Services                                                        
JX1285,"Fire Control Radar Equipment, Except Airborne - Repair","Équipement radar pour la conduite de tir, sauf pour aéronefs -  réparation",Services                                                        
JX1305,"Ammunition, Through 30MM - Repair","Munitions, jusqu'à 30 mm - réparation",Services                                                        
JX1340,"Rockets, Rocket Ammunition and Rocket Components - Repair",Roquettes et composants pyrotechniques de roquettes - réparation,Services                                                        
JX1355,"Torpedo and Components, Inert - Repair","Torpilles et composants, inertes - réparation",Services                                                        
JX1377,Cartridge and Propellant Actuated Devices and Components - Repair,Dispositifs actionnés par cartouches ou par agents propulsifs et composants - réparation,Services                                                        
JX1410,Guided Missiles - Repair,Missiles - réparation,Services                                                        
JX1420,Guided Missile Components - Repair,Composants de missiles - réparation,Services                                                        
JX1425,"Guided Missile Systems, Complete - Repair",Systèmes de missiles complets - réparation,Services                                                        
JX1427,Guided Missile Sub-Systems - Repair,Composants de systèmes de missiles - réparation,Services                                                        
JX1430,Guided Missile Remote Control System - Repair,Systèmes de télécommande pour missiles - réparation,Services                                                        
JX1450,Guided Missile Handling and Servicing - Repair,Équipement pour la manutention et l'entretien des missiles - réparation,Services                                                        
JX1510,"Aircraft, Fixed Wing - (Military) Repair and Overhaul",Aéronef à voilure fixe - réparation,Services                                                        
JX1510A,"Aircraft, Fixed Wing - Repair and Overhaul (Military)","Aéronef, aile fixe, militaires - réparation et révision",Services                                                        
JX1510C,"Aircraft, Fixed Wing - Repair and Overhaul (Civilian)","Aéronef, aile fixe, civiles - réparation et révision",Services                                                        
JX1510D,"Repainting and Refinishing, Small Aircraft","Repeinturage et refinissage, petit aéronef",Services                                                        
JX1520,"Aircraft, Rotary Wing - Repair",Aéronefs - voilure tournante - réparation,Services                                                        
JX1520A,"Aircraft, Rotary Wing (Military) - Repair and Overhaul","Hélicoptères, (civils) réparation et mise au point",Services                                                        
JX1520B,Helicopters (Military) Repair and Overhaul,Hélicoptères (militaires) réparation et révision,Services                                                        
JX1540,Gliders - Repair,Planeurs - réparation,Services                                                        
JX1560,Airframe Structural Components (Military) - Repair and Overhaul,Composants structuraux de cellules militaires - réparation et révision,Services                                                        
JX1610,Aircraft Propellers and Components (Military) - Repair and Overhaul,Hélices d'aéronefs et composants (militaires) - réparation et révision,Services                                                        
JX1615,"Helicopter Rotor Blades, Drive, Mechanisms and Components (Military) - Repair and Overhaul","Pales rotor d'hélicoptères, mécanismes d'entraînement et composants  (militaires) - réparation et révision",Services                                                        
JX1620,Aircraft Landing Gear Components (Military) - Repair and Overhaul,Composants de trains d'atterrissage (militaires) - réparation et révision,Services                                                        
JX1630,Aircraft Wheel and Brake Systems (Civilian) - Repair,Roues et systèmes de freinage d'aéronefs civils - réparation,Services                                                        
JX1650,"Aircraft Hydraulic, Vacuum and De-icing System Components (Military) - Repair and Overhaul","Composants de systèmes hydrauliques, de systèmes à vide et de systèmes de dégivrage d'aéronef (militaires)- réparation et révision",Services                                                        
JX1660,"Aircraft Air Conditioning, Heating and Pressurizing Equipment (Military) - Repair and Overhaul","Équipement de climatisation, de chauffage et de pressurisation d'aéronef (militaires) - réparation et révision",Services                                                        
JX1680,Miscellaneous Aircraft Accessories and Components (Military) - Repair and Overhaul,Accessoires et composants divers pour aéronefs (militaires) - réparation et révision,Services                                                        
JX1680A,Miscellaneous Aircraft Accessories and Components - Repair and Overhaul,Accessoires et composants divers pour aéronefs - réparation et révision,Services                                                        
JX1680B,"Seats, Aircraft - Repair and Overhaul",Sièges d'aéronefs - réparation et révision,Services                                                        
JX1680C,"Repainting and Refinishing, Aircraft Components","Repeinturage et refinissage, composants d'aéronef",Services                                                        
JX1710,Aircraft Landing Equipment - Repair,Équipement d'atterrissage pour aéronefs - réparation,Services                                                        
JX1720,Aircraft Launching Equipment - Repair,Équipement de catapultage d'aéronefs - réparation,Services                                                        
JX1730,Aircraft Ground Servicing Equipment - Repair,Matériel de services au sol des aéronefs - réparation,Services                                                        
JX1740,Airfield Specialized Trucks and Trailers - Repair,Camions et remorques spéciaux d'aérodrome - réparation,Services                                                        
JX1910,"Transport Vessels, Passenger and Troop - Repair",Navires de transport pour passagers et troupe - réparation,Services                                                        
JX1920,Fishing Vessels - Repair,Bateaux de pêche - réparation,Services                                                        
JX1925,Special Service Vessels - Repair,Bateaux de servitude - réparation,Services                                                        
JX1930,"Barges and Lighters, Cargo - Repair","Chalands, barges et allèges pour le transport de matériel - réparation",Services                                                        
JX1940,Small Craft - Repair,Embarcations légères - réparation,Services                                                        
JX1940AA,Boats (Small) and Canoes - Repair and Overhaul,"Embarcations, petites et canots - réparation et révision",Services                                                        
JX1940C,"Boats, Small - Fibreglass - Repair and Overhaul","Bateaux légers, fibre de verre - réparation et révision",Services                                                        
JX1945,Pontoons and Floating Docks - Repair,Pontons et docks flottants - réparation,Services                                                        
JX1950,Floating Drydocks - Repair,"Cales sèches, flottantes - réparation",Services                                                        
JX1955,Dredges - Repair,Dragues - réparation,Services                                                        
JX1990,"Vessels, Miscellaneous - Repair",Bateaux divers - réparation,Services                                                        
JX1990A,"Ships and Vessels (large) - Repair, Refits and Conversions (including Dry Docking)","Navires et bateaux de grandes dimensions -réparation, radoub et transformation (mise en cale sèche comprise)",Services                                                        
JX1990B,"Ships, and Vessels (small) - Repair, Refits and Conversions (including Dry Docks)","Navires et bateaux, de petites dimensions - réparation, radoub et transformation, (mise en case sèche comprise)",Services                                                        
JX1990C,"Ships and Vessels  (small) - Repair, Refits and Conversions (excluding Dry Docks)","Navires et bateaux - réparation, radoub et transformation, mise en cale sèche non comprise",Services                                                        
JX1990D,"Shipboard Machinery & Equipment -Repair, Overhaul, Modification, Maintenance & Calibration","Machines et équipement à bord des navires - réparation, révision, modification, entretien et calibrage",Services                                                        
JX1990DA,"Shipboard Deck Machinery, Not Elsewhere Specified - Repair and Overhaul","Machinerie de pont à bord des navires, non énumérés ailleurs - réparation et révision",Services                                                        
JX1990E,"Shipboard Electrical & Electronic Equipment - Repair, Overhaul, Modification, Maintenence & Calibration","Équipement électrique et électronique à bord des navires - réparation, révision, modifications, entretien et calibrage",Services                                                        
JX1990F,"Shipboard Miscellaneous Equipment - Repair, Overhaul, Modification and Calibration","Équipement de type divers à bord des navires - réparation, révision, modification, entretien et calibrage",Services                                                        
JX1990G,"Vessels, Marine, Miscellaneous - Recompression Chamber- Refit, Repair, Overhaul, Modification and Maintenence","Bateaux, marine, divers - chambre de recompression - radoub, réparation, révision, modification et entretien",Services                                                        
JX1990H,"Ships and Vessels, Bilge and Tank Pumping and Disposal of  Waste Water and Oil Products","Navires et bateaux, pompage de cale et de réservoir et élimination des eaux usées et des produits du pétrole",Services                                                        
JX1990HA,"Shipboard Hull (Non Structural) Repair, Overhaul and Maintenance","Coque (non structurale) à bord des navires - réparation, révision et entretien",Services                                                        
JX1990HB,"Shipboard Hull (Structural) - Repair, Overhaul and Maintenance","Coque (structurale) à bord des navires - réparation, révision et entretien",Services                                                        
JX1990I,"Ships and Vessels - Sand Blasting, Repainting, and Refinishing","Navires et bateaux - sablage, repeinturage et refinissage",Services                                                        
JX1990J,Ships and Vessels Refrigeration and Air Conditioning Equipment - Repair and Overhaul,Équipement de réfrigération et de conditionnement d'air pour navires et bateaux - réparation et révision,Services                                                        
JX1990K,"Ships and Vessels HVAC - Vent Cleaning, Repair, Overhaul and Maintenance","Climatisation de navires et de bateaux - nettoyage de prise d'air, réparation, révision et entretien",Services                                                        
JX1990L,"Ships and Vessels Deck Coverings - Repair, Overhaul, and Maintenance","Couvre-pont de navires et de bateaux - réparation, révision et entretien",Services                                                        
JX1990M,"Ships and Vessels Hydraulic Systems (including Piping) - Recalibration, Repair, Overhaul, and Maintenance","Systèmes hydrauliques pour navires et bateaux (tuyauterie incluse) - recalibrage, réparation, révision et entretien",Services                                                        
JX1990N,Shipboard Piping - Repair and Overhaul (except hydraulic systems),"Tuyauterie à bord des navires - réparation et révision, sauf systèmes hydrauliques",Services                                                        
JX1990P,Ships and Vessels - Asbestos Removal,Navires et bateaux - enlèvement d'amiante,Services                                                        
JX1990R,Ships and Vessels - Non Destructive Testing,Navires et bateaux - essais non destructifs,Services                                                        
JX1990S,Ships and Vessels - Preventative Maintenance - Modifications and Recalibration (incl. Vibration Analysis) - Repair and Overhaul,"Navires et bateaux - entretien préventif, modification et recalibrage, (y compris analysis de vibration) - réparation et révision",Services                                                        
JX1990T,"Ships and Vessels - Underwater Services - Repair, Overhaul, Modification, and Maintenance","Navires et bateaux - services sous-marins - réparation, révision, modification et entretien",Services                                                        
JX1990U,"Ships and Vessels - Propellor, Propellor Assembly, Repair, Overhaul, Miantenance, or Modification","Navires et bateaux - hélice, assemblage d'hélice, réparation, révision, entretien et modification",Services                                                        
JX1990V,Ships and Vessels - Hydroblasting and Tank Cleaning,Navires et bateaux - décapage à l'eau et déballastage,Services                                                        
JX1990W,"Ships, Small Craft, Pontoons, and Floating Docks - Repair","Navires, embarcations, pontons et docks flottants - réparation",Services                                                        
JX2010,Ship and Boat Propulsion Components - Repair,Organes de propulsion pour bateaux et navires - réparation,Services                                                        
JX2010A,"Propellers, Marine - Repair and Overhaul",Hélices-marine - réparation et révision,Services                                                        
JX2020,Rigging and Rigging Gear - Repair,Gréements et apparaux de gréements - réparation,Services                                                        
JX2030,Deck Machinery - Repair and Overhaul,"Pont, machinerie - réparation et révision",Services                                                        
JX2040,Marine Hardware and Hull Items - Repair,Quincaillerie marine et apparaux de coque - réparation,Services                                                        
JX2050,Buoys - Repair,Bouées - réparation,Services                                                        
JX2060,Commercial Fishing Equipment - Repair,Équipement de pêche commerciale - réparation,Services                                                        
JX2090,Ship and Marine Miscellaneous Equipment - Repair,Matériels nautiques divers - réparation,Services                                                        
JX2090AA,"Cabinets and Furniture, Marine, Not Elsewhere Specified - Repair","Meubles à tiroir et ameublement marine, non énumérés ailleurs - réparation",Services                                                        
JX2210,Locomotives - Repair,Locomotives - réparation,Services                                                        
JX2240,Locomotive and Rail Car Accessories and Components - Repair,Parties constitutives des locomotives et wagons et accessoires - réparation,Services                                                        
JX2240A,Locomotive Accessories and Components - Repair and Overhaul,Parties constitutives et accessoires de locomotives - réparation et révision,Services                                                        
JX2250,"Tract Materials, Railroad - Repair",Matériels de voies ferrées - réparation,Services                                                        
JX2305,Ground Effect Vehicles - Repair,Véhicules à effet de sol - réparation,Services                                                        
JX2305A,Ground Effect Vehicles (Civilian) - Repair and Overhaul,"Véhicules à effet de sol, civils - réparation et révision",Services                                                        
JX2305B,Ground Effect Vehicles (Military) - Repair and Overhaul,"Véhicules à effet de sol, militaire - réparation et révision",Services                                                        
JX2310,Passenger Motor Vehicles - Repair,Véhicules à moteur de tourisme - réparation,Services                                                        
JX2310C,Passenger Motor Vehicles - Repair and Overhaul - Ford Motors,Véhicules à moteur de tourisme - réparation et révision - Ford Motors,Services                                                        
JX2310D,Passenger Motor Vehicles - Repair and Overhaul - General Motors,Véhicules à moteur de tourisme - réparation et révision - General Motors,Services                                                        
JX2310E,"Buses, Repairs and Service",Autobus - réparations et service,Services                                                        
JX2310F,"Ambulances, Repair and Overhaul","Ambulances, réparation et révision",Services                                                        
JX2320,"Trucks and Truck Tractors, Wheeled - Repair","Camions et tracteurs routiers pour semi-remorques, sur roues - réparation",Services                                                        
JX2320A,"Vehicles, Wheeled, Standard Military Pattern - Repair and Overhaul","Véhicules, sur roues, modèle militaire standard - réparation et révision",Services                                                        
JX2330,Trailers - Repair,Remorques et semi-remorques - réparation,Services                                                        
JX2330A,"Trailers, Repairs and Service",Remorques - réparations et service,Services                                                        
JX2340,"Motorcycles, Motor Scooters and Bicycles - Repair","Motocyclettes, vélomoteurs et bicyclettes - réparation",Services                                                        
JX2350,"Combat, Assault, and Tactical Vehicles, Tracked - Repair","Véhicules de combat, d'assaut et tactiques, à chenille - réparation",Services                                                        
JX2350A,"Combat, Assault and Tactical Vehicles, Tracked, Not Elsewhere Specified - Repair and Overhaul","Véhicules à chenille de combat, d'assaut et tactiques - non énumérés ailleurs, réparation et révision",Services                                                        
JX2350B,Snowmobile - Repair and Overhaul,Motoneige - réparation et révision,Services                                                        
JX2355,"Combat, Assault, and Tactical Vehicles, Wheeled - Repair","Véhicules de combat, d'assaut et tactique, sur roues - réparation",Services                                                        
JX2410,"Tractors, Full-Track, Low Speed - Repair and Overhaul","Tracteurs à chenille, lents - réparation et révision",Services                                                        
JX2420,Tractors Wheeled - Repair and Overhaul,Tracteurs sur roues - réparation et révision,Services                                                        
JX2430,"Tractors, Track Laying, High Speed - Repair","Tracteurs à chenilles, rapides - réparation",Services                                                        
JX2510,"Vehicular Cab, Body and Frame Structural Components - Repair","Cabine de véhicule, carrosserie et composants structuraux de châssis - réparation",Services                                                        
JX2510E,"Springs, Leaf and Coil, for Tracked and Wheeled Vehicles, except Ground Effect and Armoured Fighting Vehicles - Repair and Overhaul","Ressorts, à lame et à boudin, pour véhicules à roues et à chenille, sauf les véhicules de combat blindés et à effet de sol - réparation et révision",Services                                                        
JX2510G,"Vehicular, Windshield Assembly - Repair and Overhaul",Ensemble de pare-brise de véhicules - réparation et révision,Services                                                        
JX2510H,"Vehicular Cab, Body and Frame Structural Components, Repainting and Refinishing","Cabine de véhicule, carrosserie et composants de structure du châssis - nouvelles peinture et finition",Services                                                        
JX2520,Vehicular Power Transmission Components - Repair,Composants de transmission de puissance des véhicules - réparation,Services                                                        
JX2520A,Vehicular Power Transmission Components (Standard Commercial) - Repair and Overhaul,Composants de transmission de puissance des véhicules (commerciaux et standard) - réparation et révision,Services                                                        
JX2520B,"Vehicular Power Transmission Components, for Tracked and Wheeled Vehicles - Repair and Overhaul","Composants de transmission de puissance des véhicules, pour véhicule à chenille et à roues - réparation et révision",Services                                                        
JX2530,"Vehicular Brake, Steering, Axle, Wheel and Track Components - Repair and Overhaul","Composants pour freins, direction, essieu, roues et chenille de véhicules - réparation et révision",Services                                                        
JX2530A,"Vehicular Brake, Steering, Axle and Wheel Components (Standard Commercial) - Repair and Overhaul","Composants de freins, de direction, d'essieux, et de roues de véhicules, standard et commerciaux - réparation et révision",Services                                                        
JX2530B,"Vehicular, Brake, Steering, Axle, Wheel and Tracked Components, for Tracked and Wheeled Vehicles, Military Configuration - Repair and Overhaul","Composants de frein, de direction, d'essieu, de roue et de chenille de véhicule, pour véhicules à roues et à chenilles, modèle militaire - réparation et révision",Services                                                        
JX2530BB,"Wheel, Solid Rubber, Repair and Overhaul, Armoured Fighting Vehicle, S.M.P.","Roue, caoutchouc plein, réparation et révision, véhicules blindés de combat, modèle militaire standard",Services                                                        
JX2530BC,"Alignments, Wheel Balancing",Parallélisme et équilibrage des roues,Services                                                        
JX2540,Vehicular Furniture and Accessories - Repair,Accessoires et garnitures de véhicules - réparation,Services                                                        
JX2590,"Vehicular Components, Miscellaneous - Repair",Composants divers de véhicules - réparation,Services                                                        
JX2590A,Vehicular Component Vinyl Upholstery - Repair and Overhaul,"Composants de véhicules, capitonnage en vinyle - réparation et révision",Services                                                        
JX2610,"Tires and Tubes, Pneumatic, except Aircraft - Repair","Pneumatiques et chambres à air, sauf pour aéronef - réparation",Services                                                        
JX2610A,"Tires and Tubes, Pneumatic, except Aircraft - Repair and Retreading","Pneumatiques et chambres à air, sauf pour aéronef - réparation et rechapage",Services                                                        
JX2620,"Tires and Tubes, Pneumatic, Aircraft - Repair",Pneumatiques et chambres à air d'aéronefs - réparation,Services                                                        
JX2620B,"Tires, Pneumatic, Aircraft, Certification","Pneumatiques et chambres à air d'aéronefs, certifiés",Services                                                        
JX2640,Tire Rebuilding and Tire and Tube Repair Materials - Repair,Produits de rechapage et de réparation des pneumatiques et chambre à air - réparation,Services                                                        
JX2805,Gasoline Reciprocating Engines (except Aircraft) and Components - Repair,"Moteurs alternatifs à piston, sauf aéronefs et composants - réparation",Services                                                        
JX2805A,"Motors, Outboard - Repair",Moteurs hors-bord - réparation,Services                                                        
JX2805AB,"MOTORS, OUTBOARD, MERCURY - REPAIR","Moteurs, hors-bord, Mercury - réparation",Services                                                        
JX2805B,"Engines, Gasoline - Repair and Overhaul (except Aircraft)","Moteurs à essence - réparation et révision, sauf aéronef",Services                                                        
JX2810,"Gasoline Reciprocating Engines, Aircraft Prime Movers and Components-Repair","Moteurs alternatifs à essence,appareils moteurs d'aéronefs, et composants - réparation",Services                                                        
JX2815,Diesel Engines and Components - Repair,Moteurs diesel et composants - réparation,Services                                                        
JX2815AA,"DIESEL ENGINES-REPAIR AND OVERHAUL, MODIFICATION AND MAINTENANCE(EXCEPT MARINE AND NON-SPECIFIC COMPONENTS)","Moteurs diesel - réparation et révision, modification et entretien, sauf marine et composants non-spécifiques",Services                                                        
JX2815AB,"DIESEL ENGINES, REPAIR, OVERHAUL, MODIFICATION AND MAINTENANCE, MARINE AND NON SPECIFIC COMPONENTS","Moteurs diesel - réparation, révision, modification et entretien marins et composants non spécifiques",Services                                                        
JX2815B,"Diesel Engines and Components, Armoured Fighting Vehicles, SMP -  Repair and Overhaul","Moteurs diesels et composants, véhicules blindés de combat, modèle militaire standard - réparation et révision",Services                                                        
JX2815C,"Diesel Engines, Repair, Overhaul, Modification and Maintenance","Moteurs diesel - réparation, révision, modification et entretien",Services                                                        
JX2825,Steam Turbines and Components - Repair and Overhaul,Turbines à vapeur et composants - réparation et révision,Services                                                        
JX2825A,Turbine Components - Repair and Overhaul,Composants de turbine - réparation et révision,Services                                                        
JX2835,Gas Turbines and Jet Engines (except Aircraft) and  Components - Repair,"Turbines à gaz et moteurs à réaction et composants, sauf d'aéronefs - réparation",Services                                                        
JX2835A,"Gas Turbine Overhaul Services, Marine","Services de révision de turbine à gaz, marine",Services                                                        
JX2835B,Airborne Auxillary and Ground Gas Turbine Units for Aircraft Engines Starting - Repair and Overhaul,Ensembles de turbines à gaz au sol et  auxiliaires en vol pour démarrage de moteurs d'aéronef - réparation et révision,Services                                                        
JX2840,"Gas Turbines and Jet Engines, Aircraft, Prime Moving and Components (Civilian) - Repair","Turbines à gaz et  moteurs à réaction, Aéronefs, Appareil moteur civils et composants - réparation",Services                                                        
JX2840A,"Gas Turbines and Jet Engines, Aircraft, and Components - Repair and Overhaul (Military)","Turbines à gaz et moteurs à réaction, aéronefs et composants, militaire - réparation et révision",Services                                                        
JX2850,Gasoline Rotary Engines and Components - Repair,Moteurs rotatifs à essence et composants - réparation,Services                                                        
JX2895,Miscellaneous Engines and Components - Repair,Moteurs divers et composants - réparation,Services                                                        
JX2910,"Engine Fuel System Components, Non-Aircraft - Repair","Composants du système d'alimentation en carburants des moteurs, sauf pour aéronefs - réparation",Services                                                        
JX2910B,"Filter Assemblies, Engine (Marine) - Repair and Overhaul","Ensembles de filtres, moteurs, marins - réparation et révision",Services                                                        
JX2910C,Fuel Injector - Repair and Overhaul (Marine),"Injecteur de carburant - réparation et révision, marin",Services                                                        
JX2910D,"Injector Fuel, Armoured Fighting Vehicle, S.M.P.  - Repair and Overhaul","Injecteur de carburant, véhicules blindés de combat, modèle militaire standard - réparation et révision",Services                                                        
JX2915,"Engine Fuel System Components, Aircraft and Missile Prime Movers - Repair","Composants du système d'alimentation en carburant, appareils moteurs d'aéronefs  et de missiles- réparation",Services                                                        
JX2915A,"Engine Fuel System Components, Aircraft (Military) - Repair and Overhaul",Composants du système d'alimentation en carburant des moteurs d'aéronefs (militaires) - réparation et révision,Services                                                        
JX2920,"Engine Electrical System Components, Non-Aircraft - Repair and Overhaul","Composants de système électrique des moteurs, sauf pour aéronefs - réparation et révision",Services                                                        
JX2925,"Engine Electrical System Components, Aircraft Prime Moving-Repair","Composants de système électrique de moteurs, appareils moteurs d'aéronefs - réparation",Services                                                        
JX2930,"Engine Coolant System Components, Non-Aircraft  - Repair and Overhaul","Composants de système de refroidissement des moteurs, sauf pour aéronefs - réparation et révision",Services                                                        
JX2940,"Engine Air Oil Filters, Strainers and Cleaners, Non-Aircraft - Repair","Filtres à air et à huile des moteurs, tamis et nettoyeurs, sauf pour aéronefs - réparation",Services                                                        
JX2990,"Engine Accessories, Miscellaneous, Non-Aircraft - Repair","Accessoires divers de moteurs, sauf pour aéronefs - réparation",Services                                                        
JX2990AA,"Mufflers, Exhaust, except Marine Ground Effect and Armoured Fighting Vehicles - Repair and Overhaul","Silencieux, échappement sauf pour véhicules marins, à effet de sol et de combat blindés - réparation et révision",Services                                                        
JX2995,"Miscellaneous Engine Accessories, Aircraft (Military) - Repair and Overhaul",Accessoires divers de moteurs d'aéronefs (militaires) - réparation et révision,Services                                                        
JX3010,Torque Converters and Speed Changers - Repair,Convertisseurs de couple et changeurs de vitesse - réparation,Services                                                        
JX3010A,Hydraulic Power System - Repair,Circuit de génération hydraulique - réparation,Services                                                        
JX3020,"Gears, Pulleys, Sprockets and Transmission Chain - Repair and Overhaul","Chaînes d'engrenages, à pignons, à palan, de transmission - réparation et révision",Services                                                        
JX3030,"Belting, Drive Belts, Fan Belts and Accessories - Repair","Courroies de transmissions, courroies de commande, courroies de ventilateurs et accessoires - réparation",Services                                                        
JX3040,"Power Transmission Equipment, Miscellaneous - Repair",Équipements divers de transmission de puissance - réparation,Services                                                        
JX3110,"Bearings, Antifriction, Unmounted - Repair",Roulements nus - réparation,Services                                                        
JX3130,"Bearings, Mounted - Repair",Roulements et paliers équipes - réparation,Services                                                        
JX3210,Sawmill and Planing Mill Machinery - Repair,Équipements de scieries - réparation,Services                                                        
JX3220,Woodworking Machines - Repair,Machines pour le travail du bois - réparation,Services                                                        
JX3405,Saws and Filing Machines - Repair,Scies et machines à limer - réparation,Services                                                        
JX3412,Broaching Machines - Repair,Brocheuses - réparation,Services                                                        
JX3413,Drilling and Tapping Machines - Repair,"Tours, pour travail avec les métaux - réparation",Services                                                        
JX3414,Gear Cutting and Finishing Machines - Repair,Machines à tailler et à finir les engrenages - réparation,Services                                                        
JX3415,Grinding Machines - Repair,Machines à meuler-affuteuses-rectifieuses - réparation,Services                                                        
JX3416,Lathes (Metal Working) - Repair,Tours - réparation,Services                                                        
JX3417,Milling Machines - Repair,Fraiseuses - réparation,Services                                                        
JX3419,Machine Tools - Miscellaneous - Repair,Machines et outils divers - réparation,Services                                                        
JX3431,Electric Arc Welding Equipment - Repair,Équipement de soudage à l'arc électrique - réparation,Services                                                        
JX3433,"Gas Welding, Heat Cutting and Metalizing Equipment - Repair","Équipements de soudage au gaz, de coupage à chaud et de métallisation - réparation",Services                                                        
JX3438,Miscellaneous Welding Equipment - Repair and Overhaul,Équipement pour soudures diverses - réparation et révision,Services                                                        
JX3439,"Welding, Soldering and Brazing Supplies and Accessories, Miscellaneous - Repair",Fournitures et accessoires divers pour soudage et brassage - réparation,Services                                                        
JX3441,Bending and Forming Machines - Repair,Machines à cintrer et à former - réparation,Services                                                        
JX3442,"Hydraulic and Pneumatic Presses, Power Driven  - Repair","Presses à moteur, hydrauliques et pneumatiques - réparation",Services                                                        
JX3443,"Mechanical Presses, Power Driven - Repair","Presses à moteur, mécaniques - réparation",Services                                                        
JX3445,Punching and Shearing Machines - Repair,Machines à poinçonner et à cisailler - réparation,Services                                                        
JX3450,"Machine Tools, Portable - Repair",Machines et outils portatifs - réparation,Services                                                        
JX3455,"Cutting Tools for Machine Tools - Repair, Overhaul, Modification and Maintenance","Outils de coupe pour machines et outils - réparation, révision, modification et entretien",Services                                                        
JX3456,Cutting and Forming Tools for Secondary Metal Working Machinery - Repair,Outils à couper et former pour machines complémentaires à travailler les métaux - réparation,Services                                                        
JX3460,Machine Tool Accessories - Repair,Accessoires de machines et outils - réparation,Services                                                        
JX3465,"Production Jigs, Fixtures and Templates - Repair","Calibres de formes, gabarits de guidage, appareils de contrôle  - réparation",Services                                                        
JX3510,Laundry and Dry Cleaning Equipment - Repair and Overhaul,Équipement de blanchissage et de nettoyage à sec - réparation et révision,Services                                                        
JX3540,Wrapping and Packaging Machinery - Repair,Machines à emballer et à empaqueter - réparation,Services                                                        
JX3590,"Service and Trade Equipment, Miscellaneous - Repair",Équipement commercial et de service divers - réparation,Services                                                        
JX3610,"Printing, Duplicating and Bookbinding Equipment - Repair and Overhaul","Équipement d'impression, de duplication et de reliure - réparation et révision",Services                                                        
JX3610A,Duplicating Equipment - Repair and Overhaul,Équipement de duplication - réparation et révision,Services                                                        
JX3610AA,Photocopying Machines and Accessories - Repair,Machines à photocopier et accessoires - réparation,Services                                                        
JX3615,Pulp and Paper Industries Machinery - Repair,Machines des industries des pâtes et papiers = réparation,Services                                                        
JX3625,Textile Industries Machinery - Repair,Machines des industries textiles - réparation,Services                                                        
JX3630,Clay and Concrete Products Industries Machinery - Repair,Machines des industries de l'argile et du béton - réparation,Services                                                        
JX3650,Chemical and Pharmaceutical Products Manufacturing Machinery - Repair,Machines à manufacturer les produits chimiques et pharmaceutiques - réparation,Services                                                        
JX3655,"Gas Generating and Dispensing Systems, Fixed or Mobile - Repair","Systèmes générateurs et distributeurs de gaz, fixes ou mobiles - réparation",Services                                                        
JX3660,Industrial Size Reduction Machinery - Repair,Machines industrielles à réduction - réparation,Services                                                        
JX3695,Miscellaneous Special Industry Machinery - Repair,Machines diverses pour industries spéciales - réparation,Services                                                        
JX3710,Soil Preparation Equipment - Repair,Équipement pour la préparation du sol - réparation,Services                                                        
JX3720,Harvesting Equipment - Repair,Équipement pour moissonner - réparation,Services                                                        
JX3730,"Dairy, Poultry and Livestock Equipment - Repair","Équipements de laiterie, de basse-cour, et pour l'élevage du bétail - réparation",Services                                                        
JX3740,"Pest, Disease and Frost Control Equipment - Repair","Équipements pour combattre les fléaux, les épidémies, les gelées - réparation",Services                                                        
JX3750,Gardening Implements and Tools - Repair,Instruments et outils de jardinage - réparation,Services                                                        
JX3750B,"Mowers, Lawn - Repair and Overhaul",Tondeuses à gazon - réparation et révision,Services                                                        
